ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,Female,Male,Total,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Bureh Kasseh Makonteh,SL020401,21384,23414,44797,5929,7005,5355,5518,4183,3837,2739,2659,1891,1533,1181,699,711,466,414,251,426
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Gbendembu Ngowa,SL020104,20624,22636,43260,5725,6764,5171,5329,4039,3705,2646,2568,1826,1480,1141,675,687,449,399,242,411
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Libeisaygahun,SL020105,8694,9367,18061,2390,2824,2159,2224,1687,1546,1105,1073,763,618,476,282,287,187,167,101,172
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Dembelia Sinkunia,SL020301,12130,11785,23915,3165,3740,2859,2946,2233,2048,1463,1419,1010,818,631,372,380,249,221,134,227
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Makari Gbanti,SL020107,44373,46323,90695,12004,14182,10841,11173,8469,7767,5547,5384,3829,3103,2392,1415,1441,943,837,508,862
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Makeni Town,SL020191,69282,71168,140450,18590,21962,16789,17302,13115,12027,8591,8338,5929,4805,3704,2190,2231,1461,1298,787,1335
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Paki Masabong,SL020108,10578,11588,22165,2933,3466,2649,2731,2069,1898,1356,1316,935,758,584,346,352,231,205,124,211
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Safroko Limba,SL020109,16371,18478,34849,4613,5450,4165,4293,3255,2985,2132,2068,1472,1192,919,543,553,362,322,195,331
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Sanda Loko,SL020110,24834,25422,50256,6652,7858,6007,6191,4693,4304,3074,2984,2122,1719,1326,784,798,523,464,282,477
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Sanda Tendaran,SL020111,14693,14550,29243,3870,4572,3495,3602,2731,2504,1788,1736,1234,1000,772,456,465,304,270,164,278
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Sella Limba,SL020112,31773,33341,65114,8619,10182,7783,8021,6080,5576,3983,3866,2749,2228,1717,1016,1035,677,602,365,619
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Tambakha,SL020113,21706,21212,42918,5681,6711,5130,5287,4007,3675,2625,2548,1812,1468,1132,669,681,446,397,241,408
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Bendu-Cha,SL030201,3902,4090,7992,1058,1250,956,984,746,685,488,474,338,273,211,125,127,84,74,45,76
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Bum,SL030202,13202,13935,27137,3591,4243,3243,3343,2534,2324,1660,1611,1146,929,716,424,431,282,251,152,258
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Dema,SL030203,4180,4083,8263,1094,1292,988,1018,772,708,505,491,349,283,217,129,132,86,76,47,78
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Imperri,SL030204,18975,18257,37233,4928,5822,4451,4587,3476,3189,2277,2210,1572,1274,982,581,591,387,343,208,353
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Jong,SL030205,18409,19294,37703,4991,5896,4507,4645,3521,3229,2306,2238,1592,1290,995,588,599,392,348,211,358
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Kpanda Kemo,SL030206,5638,6000,11638,1541,1820,1391,1434,1087,997,711,691,492,398,307,182,185,122,107,65,110
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Kwamebai Krim,SL030207,7777,8155,15931,2108,2491,1904,1962,1487,1365,974,945,672,545,420,249,253,166,147,89,152
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Nongoba Bullom,SL030208,11160,11206,22366,2960,3498,2674,2755,2088,1915,1368,1328,944,765,590,349,356,233,206,125,213
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Sittia,SL030209,11731,12069,23801,3150,3722,2845,2932,2222,2038,1456,1413,1005,814,628,371,378,248,220,134,226
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Bonthe Urban,SL030291,5491,5742,11233,1486,1756,1342,1384,1049,962,687,667,474,385,297,175,178,117,104,62,107
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Sogbeni,SL030210,5838,6274,12112,1603,1894,1447,1492,1131,1037,740,719,512,415,319,188,193,126,111,68,115
Sierra Leone,SL,Southern,SL03,Bonthe,SL0302,Yawbeko,SL030211,4092,4361,8452,1118,1321,1010,1041,789,724,517,502,357,289,223,132,134,88,78,47,80
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Dea,SL010101,7487,7469,14956,1979,2339,1787,1842,1397,1281,914,887,631,512,395,233,237,155,138,84,142
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Jawie,SL010102,27805,29003,56808,7519,8883,6790,6997,5305,4865,3474,3372,2398,1943,1498,886,902,591,525,319,540
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Kissi Kama,SL010103,11374,11395,22768,3014,3560,2722,2805,2126,1950,1393,1351,961,779,600,355,361,236,211,127,216
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Kissi Teng,SL010104,25605,24734,50339,6663,7872,6017,6201,4701,4310,3078,2988,2125,1723,1328,785,799,523,465,282,478
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Kissi Tongi,SL010105,28788,28019,56807,7518,8883,6790,6997,5305,4865,3474,3372,2398,1943,1498,886,902,591,525,319,540
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Kpeje Bongre,SL010106,13408,14654,28062,3714,4388,3355,3456,2620,2403,1716,1666,1185,960,740,438,446,292,260,157,266
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Kpeje West,SL010107,15760,14950,30710,4065,4802,3670,3783,2868,2630,1879,1823,1297,1050,809,479,487,319,283,172,292
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Luawa,SL010108,43109,47250,90360,11960,14130,10800,11131,8438,7738,5527,5364,3815,3092,2383,1409,1435,939,835,506,859
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Malema,SL010109,21162,20197,41359,5474,6468,4944,5095,3862,3542,2530,2455,1746,1415,1090,644,657,430,382,232,394
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Mandu,SL010110,16491,18054,34546,4572,5402,4130,4256,3226,2958,2113,2050,1458,1182,911,539,549,359,319,194,328
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Njaluahun,SL010111,34509,33744,68253,9033,10673,8158,8408,6373,5845,4174,4052,2882,2335,1800,1065,1084,709,631,382,649
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Penguia,SL010112,14710,14582,29292,3877,4580,3501,3608,2735,2509,1792,1739,1236,1002,773,457,465,304,271,164,279
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Upper Bambara,SL010113,14264,15671,29934,3961,4681,3578,3687,2795,2563,1831,1777,1264,1025,789,467,475,311,277,167,284
Sierra Leone,SL,Eastern,SL01,Kailahun,SL0101,Yawei,SL010114,16070,16623,32692,4327,5112,3908,4027,3053,2800,1999,1941,1380,1118,862,510,520,340,302,183,311
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Bramaia,SL020201,19361,21629,40990,5425,6410,4900,5050,3828,3510,2508,2433,1730,1403,1080,639,651,426,379,230,389
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Gbinle Dixing,SL020202,12421,13706,26127,3457,4085,3123,3219,2440,2238,1598,1551,1103,894,689,407,415,272,241,146,249
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Magbema,SL020203,49436,53323,102759,13600,16069,12283,12658,9595,8799,6285,6100,4338,3515,2709,1602,1632,1068,949,575,977
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Mambolo,SL020204,19970,22345,42314,5600,6617,5059,5212,3951,3624,2588,2512,1786,1447,1116,660,672,440,391,237,402
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Masungbala,SL020205,16493,18959,35452,4692,5544,4238,4367,3310,3036,2169,2104,1496,1213,934,553,563,369,328,198,337
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Samu,SL020206,34568,37670,72237,9561,11296,8635,8898,6745,6186,4419,4288,3049,2472,1904,1126,1147,751,668,405,687
Sierra Leone,SL,Northern,SL02,Kambia,SL0202,Tonko Limba,SL020207,32321,32985,65306,8643,10212,7806,8044,6098,5593,3995,3877,2757,2234,1723,1018,1037,679,603,366,621
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Dama,SL010201,16413,17873,34286,4538,5362,4099,4223,3202,2936,2097,2035,1447,1173,904,535,544,357,317,192,326
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Dodo,SL010202,13087,12398,25485,3373,3985,3046,3140,2379,2182,1559,1513,1076,872,672,397,405,265,235,143,242
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Gaura,SL010203,9726,10585,20311,2688,3176,2428,2502,1897,1739,1242,1205,857,695,535,317,322,211,187,114,193
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Gorama Mende,SL010204,24093,24250,48343,6399,7559,5779,5955,4514,4140,2957,2870,2041,1653,1274,754,768,503,447,271,459
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Kandu Leppiama,SL010205,10340,9984,20324,2690,3179,2429,2504,1898,1740,1243,1206,859,696,536,317,323,211,187,114,193
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Kenema Town,SL010291,109062,114422,223483,29580,34947,26714,27530,20868,19137,13669,13266,9436,7646,5894,3485,3549,2324,2065,1252,2124
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Koya,SL010206,7506,7526,15032,1989,2350,1797,1852,1404,1287,920,892,634,514,397,234,239,156,139,85,143
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Langrama,SL010207,1865,2131,3996,528,624,477,492,374,342,244,237,168,137,106,62,64,41,37,22,38
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Lower Bambara,SL010208,43713,41337,85049,11257,13299,10166,10477,7942,7283,5202,5048,3591,2910,2242,1327,1350,884,786,476,808
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Malegohun,SL010209,11367,11539,22905,3032,3582,2738,2822,2138,1961,1401,1359,967,784,604,357,363,239,212,128,217
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Niawa,SL010210,4082,4631,8713,1153,1362,1041,1074,814,746,533,517,368,298,230,136,138,90,80,49,83
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Nomo,SL010211,3164,2958,6122,811,958,731,754,572,524,375,363,259,210,162,96,97,64,57,35,58
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Nongowa,SL010212,24549,26250,50799,6723,7944,6072,6258,4744,4351,3107,3016,2145,1738,1339,793,807,528,469,284,483
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Simbaru,SL010213,9635,9761,19397,2568,3033,2319,2389,1812,1661,1186,1152,818,663,512,302,308,202,180,108,184
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Small Bo,SL010214,15758,17131,32889,4353,5143,3931,4052,3071,2816,2011,1952,1388,1125,867,513,522,342,303,184,312
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Tunkia,SL010215,19900,20299,40198,5321,6286,4805,4951,3754,3442,2458,2386,1697,1376,1060,627,639,418,371,225,382
Sierra Leone,SL,Eastern,SL01,Kenema,SL0102,Wandor,SL010216,11456,11206,22662,2999,3543,2709,2792,2116,1941,1386,1346,957,775,598,353,360,235,210,127,215
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Folosaba Dembelia,SL020303,11651,11672,23324,3087,3647,2788,2873,2177,1997,1426,1385,984,798,615,363,370,242,215,130,222
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Diang,SL020302,16389,16015,32404,4289,5067,3873,3992,3026,2775,1982,1923,1368,1108,854,505,515,337,299,182,308
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Gbanti Kamaranka,SL020103,15622,16144,31766,4204,4967,3798,3913,2966,2720,1943,1885,1341,1087,837,495,504,330,293,178,302
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Kasunko,SL020304,13083,14563,27646,3659,4323,3305,3406,2581,2367,1691,1641,1167,945,729,431,439,288,255,155,263
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Mongo,SL020305,26260,27074,53335,7059,8340,6375,6570,4980,4567,3262,3166,2252,1825,1406,832,847,554,493,299,507
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Neya,SL020306,24240,23373,47613,6302,7446,5692,5866,4446,4077,2912,2826,2010,1629,1255,743,756,495,439,266,453
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Nieni,SL020307,43274,43913,87188,11540,13634,10421,10740,8141,7466,5333,5176,3682,2982,2299,1360,1385,906,805,488,828
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Sengbe,SL020308,20766,21620,42386,5610,6628,5066,5221,3958,3629,2592,2516,1789,1451,1117,661,673,440,391,237,402
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Sulima,SL020309,20834,18902,39736,5259,6214,4750,4895,3711,3403,2431,2359,1678,1359,1048,620,631,413,367,223,378
Sierra Leone,SL,Northern,SL02,Bombali,SL0201,Magbaimba Ndorhahun,SL020106,7077,7070,14146,1872,2212,1691,1743,1321,1211,865,840,598,484,374,221,225,147,130,79,135
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Pejeh(Futa Pejeh),SL030409,7332,7831,15163,2007,2371,1813,1868,1416,1299,928,900,640,518,400,236,241,157,140,85,144
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Fiama,SL010301,8432,8799,17232,2281,2695,2059,2123,1609,1475,1054,1022,728,590,455,269,273,180,159,97,164
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Gbane,SL010302,13552,13657,27209,3601,4255,3252,3352,2541,2330,1665,1616,1148,931,718,425,433,283,251,153,259
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Gbane Kandor,SL010303,6313,6958,13271,1756,2075,1587,1635,1239,1136,812,788,561,454,350,207,211,138,123,75,126
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Gbense,SL010304,8757,8931,17688,2341,2766,2114,2179,1651,1514,1081,1050,747,605,466,275,281,184,164,99,168
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Gorama Kono,SL010305,10302,10095,20397,2699,3190,2438,2513,1904,1747,1248,1211,861,698,537,318,324,212,188,115,194
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Kamara,SL010306,11393,10251,21643,2864,3385,2587,2666,2021,1853,1323,1284,914,740,571,338,343,225,200,122,205
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Koidu Town,SL010391,71198,71548,142747,18893,22321,17063,17584,13329,12223,8731,8474,6026,4883,3764,2227,2267,1484,1319,799,1357
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Lei,SL010307,14508,15558,30066,3979,4702,3593,3704,2807,2574,1839,1785,1269,1029,793,469,477,312,278,168,285
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Mafindor,SL010308,7456,7822,15278,2023,2389,1826,1882,1427,1308,934,906,646,523,402,239,243,158,142,86,145
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Nimikoro,SL010309,35587,32676,68263,9034,10675,8159,8409,6374,5846,4175,4052,2882,2336,1800,1065,1084,709,631,382,649
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Nimiyama,SL010310,16172,15234,31406,4157,4911,3754,3869,2932,2689,1921,1864,1326,1075,828,489,498,327,290,176,299
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Sandor,SL010311,49335,50875,100210,13263,15671,11979,12345,9358,8581,6129,5948,4231,3428,2642,1563,1591,1041,925,562,952
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Soa,SL010312,21281,22481,43762,5792,6844,5231,5391,4086,3747,2677,2598,1847,1497,1154,682,695,455,405,245,416
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Tankoro,SL010313,4831,4647,9478,1254,1482,1133,1167,885,812,580,563,400,324,250,148,151,98,88,54,90
Sierra Leone,SL,Eastern,SL01,Kono,SL0103,Toli,SL010314,2687,2939,5626,745,880,672,693,525,482,345,334,237,193,148,88,89,58,52,31,54
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Bagruwa,SL030301,15280,15518,30798,4076,4815,3682,3794,2875,2637,1884,1829,1300,1054,812,481,489,320,284,173,293
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Bumpeh,SL030302,19875,21874,41749,5526,6528,4991,5143,3899,3575,2553,2479,1763,1428,1100,651,663,434,386,234,397
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Dasse,SL030303,7101,7635,14736,1950,2305,1762,1815,1376,1262,901,875,622,504,389,230,234,153,136,83,140
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Fakunya,SL030304,14643,16181,30824,4080,4820,3685,3798,2879,2639,1885,1830,1301,1055,813,481,489,320,284,173,293
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kagboro,SL030305,18743,20126,38869,5144,6078,4646,4788,3629,3328,2377,2307,1641,1330,1025,607,618,404,359,217,369
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kaiyamba,SL030306,13647,15062,28709,3800,4489,3432,3537,2680,2458,1756,1704,1212,982,757,448,456,299,265,161,273
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kamajei,SL030307,5501,5832,11333,1500,1773,1355,1396,1058,970,693,672,478,388,299,177,180,118,105,64,108
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kongbora,SL030308,5551,5964,11515,1524,1801,1377,1418,1075,986,705,683,486,394,303,180,183,119,106,65,109
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kori,SL030309,16498,17524,34022,4503,5321,4066,4191,3176,2913,2080,2019,1436,1164,898,531,541,353,314,191,323
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Kowa,SL030310,5176,5697,10873,1439,1700,1300,1339,1016,931,665,646,459,372,287,169,173,113,100,61,104
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Lower Banta,SL030311,20213,21394,41607,5507,6506,4974,5125,3886,3563,2544,2470,1757,1424,1097,649,661,433,385,233,396
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Ribbi,SL030312,17538,19439,36977,4895,5782,4420,4555,3453,3166,2261,2195,1561,1265,976,576,588,385,341,207,351
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Timdale,SL030313,5748,5727,11475,1519,1794,1371,1414,1071,982,701,681,485,392,302,180,182,119,106,65,109
Sierra Leone,SL,Southern,SL03,Moyamba,SL0303,Upper Banta,SL030314,5852,5869,11721,1551,1833,1401,1444,1095,1003,717,696,495,401,309,183,186,122,108,66,111
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Sanda Magbolontor,SL020410,12444,14015,26459,3502,4138,3163,3259,2471,2266,1618,1571,1117,905,698,413,420,275,244,148,252
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Buya Romende,SL020402,17932,20290,38222,5059,5977,4569,4708,3569,3273,2338,2269,1613,1308,1008,596,607,397,353,214,363
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Dibia,SL020403,8086,9217,17303,2290,2706,2068,2132,1616,1482,1058,1027,730,592,456,270,274,180,159,97,164
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Kaffu Bullom,SL020404,65960,68380,134340,17780,21007,16059,16549,12544,11504,8217,7974,5672,4596,3542,2095,2134,1397,1241,753,1277
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Koya,SL020412,44731,50237,94968,12570,14850,11351,11699,8868,8132,5809,5637,4009,3249,2504,1481,1509,987,877,532,903
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Lokomasama,SL020406,41622,45652,87274,11551,13647,10433,10750,8149,7473,5338,5180,3685,2986,2301,1361,1386,908,806,489,830
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Maforki,SL020407,46177,50561,96737,12804,15128,11563,11917,9033,8284,5917,5742,4084,3309,2551,1509,1536,1006,894,542,920
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Marampa,SL020408,32040,34102,66142,8755,10342,7906,8148,6177,5664,4045,3926,2793,2263,1744,1031,1050,688,611,370,629
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Masimera,SL020409,21545,23993,45538,6027,7121,5443,5609,4252,3899,2785,2703,1922,1558,1201,710,724,474,420,255,433
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Wara Wara Bafodia,SL020310,19311,19273,38584,5106,6033,4613,4753,3602,3304,2360,2290,1629,1320,1018,602,613,401,357,216,367
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,TMS,SL020411,16938,17394,34333,4545,5368,4104,4229,3205,2940,2099,2038,1449,1175,905,535,545,357,317,193,327
Sierra Leone,SL,Northern,SL02,Port Loko,SL0204,Tasso Island,SL020405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Barri,SL030401,19731,21416,41147,5447,6434,4918,5069,3842,3523,2516,2443,1737,1408,1085,642,653,428,380,231,391
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Galliness Perri,SL030402,29784,31194,60978,8071,9535,7288,7511,5694,5221,3729,3619,2574,2086,1608,951,969,634,563,341,580
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Kpaka,SL030403,8609,9752,18361,2431,2871,2194,2262,1715,1572,1123,1090,775,628,484,287,292,191,169,103,175
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Makpele,SL030405,26656,28355,55012,7281,8602,6576,6777,5137,4711,3365,3266,2322,1882,1451,857,874,572,508,308,523
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Malen,SL030406,17198,17455,34653,4587,5419,4142,4269,3236,2967,2120,2057,1463,1185,914,541,551,360,320,194,329
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Mono Sakrim,SL030407,28057,26869,54926,7269,8588,6566,6766,5129,4703,3359,3260,2319,1879,1448,856,872,571,507,308,522
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Panga Kabonde,SL030404,6783,7592,14375,1902,2248,1718,1771,1342,1231,880,853,607,492,379,224,229,149,133,80,137
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Panga Krim,SL030408,4790,5210,10000,1323,1564,1195,1232,934,856,612,593,423,342,264,156,158,104,93,56,95
Sierra Leone,SL,Northern,SL02,Koinadugu,SL0203,Wara Wara Yagala,SL020311,20067,20233,40300,5334,6302,4818,4965,3763,3451,2465,2393,1701,1379,1063,629,640,419,372,226,384
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Yakumu Kpukum Krim,SL030412,7321,8092,15413,2040,2411,1842,1899,1439,1320,943,915,651,527,407,241,245,161,143,86,146
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Soro Gbema,SL030410,22623,24530,47153,6241,7373,5636,5809,4403,4038,2884,2799,1991,1613,1243,736,749,491,436,264,448
Sierra Leone,SL,Southern,SL03,Pujehun,SL0304,Sowa,SL030411,9397,9709,19106,2529,2988,2283,2354,1784,1636,1168,1134,806,653,504,298,303,198,176,107,182
Sierra Leone,SL,Northern,SL02,Tonkolili,SL0205,Gbonkolenken,SL020501,37347,38140,75488,9991,11804,9023,9299,7049,6464,4617,4481,3187,2582,1990,1177,1199,785,697,423,717
